Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,"ESPINOSA VELOSO Candela Belen
PEREZ MAURICE Maria Belen
PERRONI Maria Alicia",ARG,45,"LIU Yifei
PONICH Marissa
THURGOOD Madison",CAN,38,Ref GHAZY Tamim EGY,NO STREAM
32,"HATEM SIVIRA Ivana
MOROS Andrea
PAREDES TORRES Katherine F.
PRIETO JIMENEZ Ariana",VEN,26,"ATANASOVA Kalina
ILIEVA Yoana
IVANOVA Beloslava
NEIKOVA Emma",BUL,45,Ref BEN CHAABENE Iheb TUN,NO STREAM
32,"CHU Wing Kiu
LAU Yee Ching
LEUNG Lok Man Laren
SIT Summer Fay",HKG,45,"LUPU Andreea
LUTEA Tania
MITRUS Alexandra
SERBANOIU Andreea",ROU,31,Ref KHALED Amr EGY,NO STREAM
32,"CHAN Natallie Yin Xin
LIM Jae Jia En
TAN Jermaine Ruo Ting
TAN Kai Li Christine",SGP,24,"FUNKE Julika
GETTE Elisabeth
HERBON Felice
STEMPER Lena",GER,45,Ref RUBINI Jacopo ITA,NO STREAM
32,"HUSEYNOVA Zarifa
KARIMOVA Sabina
KASPIAROVICH Palina",AZE,45,"AAKHRI Aakhri
CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi
GUPTA Shreya
VALLATTUPARAMBIL SUNNY Alka",IND,29,Ref QIAO Min CHN,NO STREAM
32,N/A,GEO,0,"HERNANDEZ Elena
MARTIN-PORTUGUES Lucia
NAVARRO Araceli
PEREZ CUENCA Celia",ESP,0,Ref RODRIGUEZ Joslin VEN,NO STREAM
32,"DOSPAY Karina
GULIK Anastassiya
PRIKHODKO Tatyana
SARYBAY Aigerim",KAZ,45,"ABOUALAM Khadija
ELDOKSH Renad
HEGAZY Alanoud
SALEH Zeina",EGY,37,Ref BOUKAS Evangelos GRE,NO STREAM
16,"BAKASTOVA Yuliia
BONDAR Oleksandra
GONTSOVA Daria
KOMASHCHUK Alina",UKR,45,"ESPINOSA VELOSO Candela Belen
PEREZ MAURICE Maria Belen
PERRONI Maria Alicia",ARG,39,Ref QIAO Min CHN,https://www.youtube.com/watch?v=MSWJelT-nls&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=18&pp=iAQB
16,"CIESLAR Zuzanna
LENKIEWICZ Zuzanna
MATUSZAK Sylwia
WATOR Angelika",POL,45,"BATTISTON Michela
LANDI Michela
MORMILE Chiara
SPICA Manuela",ITA,43,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=rJRkEIcRTcc&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=15&pp=iAQB
16,"CHAMBERLAIN Maia
LU Vivian
POSSICK Lola
WILLIAMS Jadeyn",USA,44,"ATANASOVA Kalina
ILIEVA Yoana
IVANOVA Beloslava
NEIKOVA Emma",BUL,45,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=CD8d9GoFv8E&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=17&pp=iAQB
16,"CHU Wing Kiu
LAU Yee Ching
LEUNG Lok Man Laren
SIT Summer Fay",HKG,37,"KATONA Renata
KESZEI Kira
PUSZTAI Liza
SZUCS Luca",HUN,45,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=S106rlUHPOs&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=16&pp=iAQB
16,"CHOI Sebin
JEON Hayoung
KIM Dohee
KIM Jeongmi",KOR,45,"FUNKE Julika
GETTE Elisabeth
HERBON Felice
STEMPER Lena",GER,30,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=hWsm2ygB9CA&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=13&pp=iAQB
16,"HUSEYNOVA Zarifa
KARIMOVA Sabina
KASPIAROVICH Palina",AZE,35,"EMURA Misaki
KANEKO Yuina
KIKUCHI Kokona
OZAKI Seri",JPN,45,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=aODe9E0bdtg
16,"FU Ying
LIN Kesi
RAO Xueyi
ZHANG Xinyi",CHN,45,"HERNANDEZ Elena
MARTIN-PORTUGUES Lucia
NAVARRO Araceli
PEREZ CUENCA Celia",ESP,44,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=pZBCG78Vwqw&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=12&pp=iAQB
16,"DOSPAY Karina
GULIK Anastassiya
PRIKHODKO Tatyana
SARYBAY Aigerim",KAZ,24,"CLAPIER Faustine
MOUROUX Mathilde
NOUTCHA Sarah
TORI Toscane",FRA,45,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=XNz9ea577N0&list=PLNiGTm2egXLTpGBsemhgKdjlyfYamVY_R&index=14&pp=iAQB
8,"BAKASTOVA Yuliia
BONDAR Oleksandra
GONTSOVA Daria
KOMASHCHUK Alina",UKR,41,"CIESLAR Zuzanna
LENKIEWICZ Zuzanna
MATUSZAK Sylwia
WATOR Angelika",POL,45,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=bZp8xnffC5U
8,"ATANASOVA Kalina
ILIEVA Yoana
IVANOVA Beloslava
NEIKOVA Emma",BUL,40,"KATONA Renata
KESZEI Kira
PUSZTAI Liza
SZUCS Luca",HUN,45,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=AqqkB1kSbtY
8,"CHOI Sebin
JEON Hayoung
KIM Dohee
KIM Jeongmi",KOR,45,"EMURA Misaki
KANEKO Yuina
KIKUCHI Kokona
OZAKI Seri",JPN,42,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=gXosCvIZpOA
8,"FU Ying
LIN Kesi
RAO Xueyi
ZHANG Xinyi",CHN,41,"CLAPIER Faustine
MOUROUX Mathilde
NOUTCHA Sarah
TORI Toscane",FRA,45,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=BuEyHECd_O0
4,"CIESLAR Zuzanna
LENKIEWICZ Zuzanna
MATUSZAK Sylwia
WATOR Angelika",POL,42,"KATONA Renata
KESZEI Kira
PUSZTAI Liza
SZUCS Luca",HUN,45,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=906MajZEkCA
4,"CHOI Sebin
JEON Hayoung
KIM Dohee
KIM Jeongmi",KOR,42,"CLAPIER Faustine
MOUROUX Mathilde
NOUTCHA Sarah
TORI Toscane",FRA,45,Ref QIAO Min CHN,https://www.youtube.com/watch?v=ph5M8K-4ly0
2,"KATONA Renata
KESZEI Kira
PUSZTAI Liza
SZUCS Luca",HUN,32,"CLAPIER Faustine
MOUROUX Mathilde
NOUTCHA Sarah
TORI Toscane",FRA,45,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=VK_m47aEGcA&pp=0gcJCX4JAYcqIYzv
64,MATUSZAK Sylwia,POL,15,KATONA Renata,HUN,10,Ref QIAO Min CHN,https://www.youtube.com/watch?v=ThX4pZsy824
64,ARPINO Giulia,ITA,7,NOUTCHA Sarah,FRA,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=FRxuM6H_Zr4
64,NAVARRO Araceli,ESP,15,BAKASTOVA Yuliia,UKR,5,Ref ADEL Ali EGY,https://www.youtube.com/watch?v=KjjEt2k5Pz4
64,SIT Summer Fay,HKG,9,LUSINIER Kelly,FRA,15,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=7X2RLtmXXw4
64,FUSETTI Benedetta,ITA,15,IVANOVA Beloslava,BUL,9,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=JD2W8wtZGKo
64,ESPINOSA VELOSO Candela Belen,ARG,9,PUSZTAI Liza,HUN,15,Ref ADEL Ali EGY,N/A
64,DAYIBEKOVA Zaynab,UZB,15,LENKIEWICZ Zuzanna,POL,11,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=FkpRD32Wfrk
64,KIKUCHI Kokona,JPN,15,CIESLAR Zuzanna,POL,13,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=VzuwU7DHygc
64,HERNANDEZ Elena,ESP,6,BATTAI Sugar Katinka,HUN,15,Ref ADEL Ali EGY,https://www.youtube.com/watch?v=KESYyfgyYF8
64,MALGREM Klaudia,POL,5,EMURA Misaki,JPN,15,Ref FIHUE Lysiane FRA,https://www.youtube.com/watch?v=pMV76vsAwok
32,JEON Hayoung,KOR,15,RIFKISS Margaux,FRA,13,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=byhPqbdz50U
32,FU Ying,CHN,15,CHAMBERLAIN Maia,USA,8,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=FmXa4PsNXpc
32,BATTISTON Michela,ITA,15,KIM Jeongmi,KOR,11,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=YipJRO9Gwj4
32,KASPIAROVICH Palina,AZE,9,GEORGIADOU Despina,GRE,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=XqSkVf1fj34
32,MARTIN-PORTUGUES Lucia,ESP,15,FUNKE Julika,GER,9,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=iLQAIy9W9Tc
32,MOUROUX Mathilde,FRA,6,CHOI Sebin,KOR,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=sEYnnvNQwBk
32,PEREZ CUENCA Celia,ESP,14,QUEROLI Caroline,FRA,15,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=A8n-Ruk87bg
32,TORI Toscane,FRA,10,ILIEVA Yoana,BUL,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=QCS7uFzZ1yA
32,GKOUNTOURA Theodora,GRE,14,CLAPIER Faustine,FRA,15,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=g6O6X9uYZb0&pp=0gcJCX4JAYcqIYzv
32,SULLIVAN Siobhan,USA,14,ERBIL Nisanur,TÜR,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=pMFdvVsoNxI
32,SZUCS Luca,HUN,15,MORMILE Chiara,ITA,13,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=qKzr2fqmyK4
32,MATUSZAK Sylwia,POL,7,NOUTCHA Sarah,FRA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=Pqh7qyIB-DQ
32,NAVARRO Araceli,ESP,15,LUSINIER Kelly,FRA,10,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=bEhWKw9iMWw&pp=0gcJCX4JAYcqIYzv
32,FUSETTI Benedetta,ITA,15,PUSZTAI Liza,HUN,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=-eSJIp44zEU
32,DAYIBEKOVA Zaynab,UZB,15,KIKUCHI Kokona,JPN,8,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=IoeFZDfY1qc
32,BATTAI Sugar Katinka,HUN,13,EMURA Misaki,JPN,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=h4TKGhmxnWk
16,JEON Hayoung,KOR,15,FU Ying,CHN,14,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=SKV8QtGF_XI&pp=0gcJCX4JAYcqIYzv
16,BATTISTON Michela,ITA,7,GEORGIADOU Despina,GRE,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=404oPwyqt_Y
16,MARTIN-PORTUGUES Lucia,ESP,15,CHOI Sebin,KOR,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=Co2Sn2iVmbQ
16,QUEROLI Caroline,FRA,0,ILIEVA Yoana,BUL,0,Ref QIAO Min CHN,https://www.youtube.com/watch?v=yPFU6uQESKY
16,CLAPIER Faustine,FRA,15,ERBIL Nisanur,TÜR,13,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=nAn1q6QbWtU
16,SZUCS Luca,HUN,5,NOUTCHA Sarah,FRA,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=9dJSacYqmcM&pp=0gcJCX4JAYcqIYzv
16,NAVARRO Araceli,ESP,15,FUSETTI Benedetta,ITA,14,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=vIw-U_kXxCI
16,DAYIBEKOVA Zaynab,UZB,11,EMURA Misaki,JPN,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=LohcTabgr4Y
8,JEON Hayoung,KOR,11,GEORGIADOU Despina,GRE,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=A4M--vvmkHU
8,MARTIN-PORTUGUES Lucia,ESP,11,ILIEVA Yoana,BUL,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=FVyVV5Uc0Wk
8,CLAPIER Faustine,FRA,5,NOUTCHA Sarah,FRA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=cRBn2L82k6A
8,NAVARRO Araceli,ESP,13,EMURA Misaki,JPN,15,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=zS2lS2dg-Y4
4,GEORGIADOU Despina,GRE,15,ILIEVA Yoana,BUL,12,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=-TGqJgcLjJE
4,NOUTCHA Sarah,FRA,15,EMURA Misaki,JPN,14,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=KPd359X8d8I
2,GEORGIADOU Despina,GRE,15,NOUTCHA Sarah,FRA,14,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=zIBxeSltd9E